datetime,cart,Record Count,total_price
"Jun 19, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""2ltol8ka07l"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}],""valrhona"":1,""chocpudding_slice"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""30czayfqwch"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":3,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,1180
"Jun 19, 2021","{""bannutella~s"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":0,""id"":""odupzt2qev"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":3,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""},{""count"":""5"",""price"":450,""quantity"":1,""id"":""r5rmd2ijxwm"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":3,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,677
"Jun 19, 2021","{""salt"":1,""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""1bksfvs501x"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":2,""MAMA OG"":3,""MATCHA POWWOW"":1,""SEXY BACK"":3,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1,1140
"Jun 19, 2021","{""candy"":0,""cupc"":1,""hella"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""yhiuft2jx9k"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,845
"Jun 19, 2021","{""cereal"":4,""candy"":4}",1,1040
"Jun 19, 2021","{""heart-set&redvelvet,ganache.pinkgold"":1,""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""lknkw5y5pcd"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,2011
"Jun 19, 2021","{""cupc"":1}",1,150
"Jun 19, 2021","{""chocpudding-1lb"":1}",1,1976
"Jun 19, 2021","{""heart-S&redvelvet.pink"":1}",1,550
"Jun 19, 2021","{""kiss_slice"":3,""coconut_slice"":3}",1,1433
"Jun 19, 2021","{""cake"":[{""count"":""8"",""price"":1640,""quantity"":1,""id"":""rj3sqcresok"",""BANANA NUTELLA"":2,""VERY BERRY BASQUE CHEESECAKE"":2,""CARROT CREAM CHEESE"":2,""CHOCOLATE PUDDING"":2,""YOUNG COCONUT CAKE"":0,""FERRERO CHOCOLATE TART"":0,""STRAWBERRY KISS"":0,""BLACKOUT CHOCOLATE CAKE"":0,""extra"":"""",""title"":""Large box of 8""}]}",1,1950
