cart,Record Count
"{""custom"":[{""title"":""Lady in pink / 2lb สีเหลือง / รสชาติ red velvet"",""price"":2800,""quantity"":1,""id"":""wggw4gxgrg""}]}",1
"{""pbj"":1,""hella"":1,""bannutella~s"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""7tzqtur59ft"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}],""mayong~l"":1}",1
"{""peanut"":2,""redvelvet"":1}",1
"{""custom"":[{""title"":""Chocolate Caramel 2lb special decoration"",""price"":2700,""quantity"":1,""id"":""wrzem894mm""}]}",1
"{""banog~s"":3,""bannuts~s"":3,""bannutella~s"":2,""banultimate~s"":2}",1
"{""ferrero-2lb"":1}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""zg2mj4dapq9"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Small box of 9""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""cupkjsq3bbi"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}],""deathchoc"":4,""redvelvet"":1,""salt"":1}",1
"{""custom"":[{""title"":""3 lb choc pudding cake เค้ก 2 ชั้น​ สีชมพู​รูปตกเเต่งมุกหัวใจ"",""price"":4800,""quantity"":1,""id"":""njp3r0s1r39""}]}",1
"{""chocpudding_slice"":1}",1
"{""heart-set&redvelvet,redvelvet.pinkgold"":0,""heart-set&redvelvet,ganache.pinkgold"":1}",1
"{""mayong~l"":2}",1
"{""custom"":[{""title"":""Red velvet 1 lb ตกแต่ง Lady in Pink สีชมพูเข้ม"",""price"":1800,""quantity"":1,""id"":""g1r22t2i8xt""}]}",1
"{""hella"":1,""deathchoc"":1,""cupc"":1}",1
"{""banultimate~s"":1,""banog~s"":1,""mayong~s"":2,""coconut_slice"":1}",1
"{""custom"":[{""title"":""Chocolate pudding ตกแต่ง Lady in Pink 2 ชั้นสีชมพู (ชั้นล่าง 1 ปอนด์ครึ่ง ชั้นบน 1 ปอนด์)"",""price"":3500,""quantity"":1,""id"":""ks75w8mgixp""}]}",1
"{""kiss_slice"":2}",1
"{""banultimate~s"":1,""bancheese~s"":1,""mayong~s"":2,""bannutella~s"":1}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""fadfvwqj1to"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""mayong~s"":1,""bancheese~s"":0,""coconut-1lb"":1}",1
"{""carrot_slice"":1,""bancheese~s"":1}",1
"{""custom"":[{""title"":""Oatmeal cookies 5 ชิ้น"",""price"":450,""quantity"":1,""id"":""okl1zv9ixv8""}],""bancheese~s"":1,""bannuts~s"":1,""banultimate~s"":1,""bannutella~s"":1}",1
"{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""7js5p8w0e4p"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":1,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""redvelvet"":1}",1
"{""mayong~s"":0,""bancheese~s"":1}",1
"{""heart-S&redvelvet.pink"":1,""pbj"":1,""redvelvet"":1,""mayong~s"":1}",1
"{""redvelvet"":1,""pbj"":1}",1
"{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""3u33lv36ate"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""extra"":"""",""title"":""Small box of 5""}],""mayong~s"":1,""salt"":1,""redvelvet"":1}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""darpiox66ck"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""kiss-1lb"":1,""chocpudding-1lb"":1}",1
"{""bancheese~l"":1,""mayong~l"":1,""pbj"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""ex4gzkg4ttv"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":5,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
{},1
"{""mayong~s"":7,""banog~s"":1}",1
"{""mayong-1lb"":1,""mayong~s"":1,""bannutella~s"":1}",1
"{""heart-S&redvelvet.pink"":1}",1
"{""chocpudding-1lb#extraferrero"":1,""ferrero-1lb"":1}",1
"{""mayong~s"":4,""bancheese~s"":0,""bancheese~l"":3}",1
"{""blackout_slice"":0,""banana_slice"":0,""chocpudding_slice"":0,""cake"":[{""count"":""8"",""price"":1660,""quantity"":1,""id"":""sk21aklce3"",""BANANA NUTELLA"":1,""VERY BERRY BASQUE CHEESECAKE"":1,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":1,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":1,""STRAWBERRY KISS"":1,""BLACKOUT CHOCOLATE CAKE"":1,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""bannutella~s"":2,""banultimate~l"":1,""banultimate~s"":1}",1
"{""banultimate~s"":1,""mayong~s"":1}",1
"{""blackout-2lb"":1}",1
"{""salt"":1,""redvelvet"":1,""hella"":1,""deathchoc"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""xoiyo9uwg9c"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Small box of 9""}]}",1
